Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B07PMD6ZVM""",-,No Portfolio,Manual product targeting,price targeting,INR,4,71,5.6300%,Rs.13.3,Rs.3.325,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin=""B0BY2T1YVM""",-,No Portfolio,Manual product targeting,wand PT,INR,149,1867,7.9800%,Rs.480.15,Rs.3.2225,6,Rs.5079.65,9.4500%,10.58,4.0300%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,harry potter wands,EXACT,No Portfolio,"Brand Analytics(hbd,wands,mry go kalimba",wands,INR,186,4226,4.4000%,Rs.528.29,Rs.2.8402999999999996,5,Rs.3913.58,13.5000%,7.41,2.6900%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B07MJ4TRCD""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,1,5,20.0000%,Rs.1.3,Rs.1.3,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B0D3F2PFLZ""",-,No Portfolio,Manual product targeting,price targeting,INR,2,6,33.3300%,Rs.7.28,Rs.3.64,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,*,-,No Portfolio,SPA | B0CLLT71RW | ALL | VISIBILITY | DSTM 653b7a,Fusked - Action Dress Ups & Accessories,INR,12,727,1.6500%,Rs.17.6,Rs.1.4667,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B0C5TRWBYM""",-,No Portfolio,Manual product targeting,wand PT,INR,33,399,8.2700%,Rs.107.42,Rs.3.2552,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,473,18014,2.6300%,Rs.1145.56,Rs.2.4219,17,Rs.16823.72,6.8100%,14.69,3.5900%
"Feb 1, 2025","Mar 15, 2025",compression packing cubes for travel,5,4.39%,compression packing cube travel,BROAD,liquidations-Jan-25,27-01-CompressionCubes_Combo_BE14TACOS10,CompressionCubes_Combo_TACOS10,INR,16,3064,0.5200%,Rs.172.83,Rs.10.8019,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",compression packing cubes for travel,5,4.39%,compression packing cube travel,EXACT,liquidations-Jan-25,27-01-CompressionCubes_Combo_BE14TACOS10,CompressionCubes_Combo_TACOS10,INR,74,12947,0.5700%,Rs.891.05,Rs.12.041199999999998,4,Rs.2250.86,39.5900%,2.53,5.4100%
